city,state,lon,lat,lon1,lat1
New York,New York,-8234229.297,4970380.761,-8234229.297,4970380.761
Philadelphia,Pennsylvania,-8368867.370,4858182.367,-8368867.370,4858182.367
Washington,Maryland,-8644105.326,4720526.234,-8644105.326,4720526.234
Lynchburg,Tennessee,-8837130.892,4479722.061,-8837130.892,4479722.061
Winchester,Kentucky,-9354095.405,4586746.138,-9354095.405,4586746.138
Columbia,Kentucky,-9470675.203,4445321.465,-9470675.203,4445321.465
Delaware,Ohio,-9254715.905,4898262.647,-9254715.905,4898262.647
Salem,Indiana,-9568143.558,4662236.335,-9568143.558,4662236.335
Rutherfordton,NorthCarolina,-9122846.954,4216939.731,-9122846.954,4216939.731
Clarksburg,,-8960399.695,4753015.685,-8960399.695,4753015.685
Athens,,-9142913.968,4766393.695,-9142913.968,4766393.695
Brookville,,-9441052.467,4764482.551,-9441052.467,4764482.551
Indianapolis,,-9578654.851,4824683.594,-9578654.851,4824683.594
Dansville,,-8646016.470,5250868.756,-8646016.470,5250868.756
Carthage,,-8407123.442,5450583.327,-8407123.442,5450583.327
Detroit,,-9249938.045,5209779.155,-9249938.045,5209779.155
Clearfield,,-8728195.672,5012931.300,-8728195.672,5012931.300
Mercer,,-8930776.959,5043509.608,-8930776.959,5043509.608
Rochester,,-9593944.005,5014842.444,-9593944.005,5014842.444
