city,state,lon,lat,lon1,lat1
Washington,Maryland,-8571873.361,4678437.781,-8571873.361,4705265.467
Harrisburg,,-8772934.234,4640933.490,-8772934.234,4640933.490
Salem,,-8973244.880,4730554.399,-8973244.880,4757593.810
Lewisburg,,-8955426.985,4527330.630,-8955426.985,4553532.028
Competition,,-8833139.962,4388754.141,-8833139.962,4414364.894
Richmond,,-8608071.820,4497634.358,-8608071.820,4523710.499
Williamsburg,,-8536050.015,4453744.950,-8536050.015,4479634.655
Belhaven,,-8442084.066,4494272.561,-8442084.066,4520334.477
Fairfax,,-8684407.431,4614182.305,-8684407.431,4640745.933
Lovingston,,-8776685.369,4521914.275,-8776685.369,4548092.881
Greensville,,-9007942.885,4370266.003,-9007942.885,4395796.772
Princeton,,-9023885.212,4471860.815,-9023885.212,4497827.663
Charleston,,-9085028.723,4603722.426,-9085028.723,4630242.753
Covington,,-8905161.767,4523781.981,-8905161.767,4549968.449
Maysville,,-8740862.024,4490910.773,-8740862.024,4516958.455
Huntersville,,-8907037.335,4581308.697,-8907037.335,4607735.939
Streubenville,,-8980559.594,4886730.472,-8980559.594,4914391.282
Dickinsonville,,-9163802.573,4391928.900,-9163802.573,4417553.359
Jerusalem,,-8575436.940,4375868.440,-8575436.940,4401423.476
Hampton,,-8500789.339,4417700.774,-8500789.339,4443436.196
